tick,day,hour,S_susceptible,I_total_infect,new_infect,R_total_recov,new_recov
0,0,0,3990,10,10,0,0
1,0,1,3989,11,1,0,0
2,0,2,3989,11,0,0,0
3,0,3,3989,11,0,0,0
4,0,4,3989,11,0,0,0
5,0,5,3988,12,1,0,0
6,0,6,3988,12,0,0,0
7,0,7,3988,12,0,0,0
8,0,8,3988,12,0,0,0
9,0,9,3988,12,0,0,0
10,0,10,3988,12,0,0,0
11,0,11,3988,12,0,0,0
12,0,12,3988,12,0,0,0
13,0,13,3988,12,0,0,0
14,0,14,3987,13,1,0,0
15,0,15,3986,14,1,0,0
16,0,16,3985,14,1,1,1
17,0,17,3985,14,0,1,0
18,0,18,3985,14,0,1,0
19,0,19,3984,15,1,1,0
20,0,20,3984,15,0,1,0
21,0,21,3984,15,0,1,0
22,0,22,3983,16,1,1,0
23,0,23,3982,17,1,1,0
24,1,0,3982,17,0,1,0
25,1,1,3982,17,0,1,0
26,1,2,3982,17,0,1,0
27,1,3,3981,18,1,1,0
28,1,4,3981,18,0,1,0
29,1,5,3980,19,1,1,0
30,1,6,3979,20,1,1,0
31,1,7,3979,20,0,1,0
32,1,8,3979,20,0,1,0
33,1,9,3978,21,1,1,0
34,1,10,3977,22,1,1,0
35,1,11,3977,22,0,1,0
36,1,12,3977,22,0,1,0
37,1,13,3975,24,2,1,0
38,1,14,3975,24,0,1,0
39,1,15,3973,26,2,1,0
40,1,16,3973,26,0,1,0
41,1,17,3972,26,1,2,1
42,1,18,3971,27,1,2,0
43,1,19,3971,27,0,2,0
44,1,20,3968,30,3,2,0
45,1,21,3967,29,1,4,2
46,1,22,3966,30,1,4,0
47,1,23,3966,29,0,5,1
48,2,0,3966,29,0,5,0
49,2,1,3965,30,1,5,0
50,2,2,3965,30,0,5,0
51,2,3,3964,31,1,5,0
52,2,4,3962,33,2,5,0
53,2,5,3962,33,0,5,0
54,2,6,3962,33,0,5,0
55,2,7,3961,34,1,5,0
56,2,8,3961,34,0,5,0
57,2,9,3961,33,0,6,1
58,2,10,3960,33,1,7,1
59,2,11,3959,34,1,7,0
60,2,12,3959,34,0,7,0
61,2,13,3958,34,1,8,1
62,2,14,3958,34,0,8,0
63,2,15,3955,37,3,8,0
64,2,16,3954,38,1,8,0
65,2,17,3954,38,0,8,0
66,2,18,3953,39,1,8,0
67,2,19,3953,39,0,8,0
68,2,20,3952,40,1,8,0
69,2,21,3952,40,0,8,0
70,2,22,3949,43,3,8,0
71,2,23,3949,43,0,8,0
72,3,0,3949,42,0,9,1
73,3,1,3949,42,0,9,0
74,3,2,3947,44,2,9,0
75,3,3,3946,45,1,9,0
76,3,4,3946,45,0,9,0
77,3,5,3946,45,0,9,0
78,3,6,3945,45,1,10,1
79,3,7,3944,46,1,10,0
80,3,8,3937,53,7,10,0
81,3,9,3936,54,1,10,0
82,3,10,3935,55,1,10,0
83,3,11,3935,55,0,10,0
84,3,12,3935,55,0,10,0
85,3,13,3934,56,1,10,0
86,3,14,3932,58,2,10,0
87,3,15,3932,57,0,11,1
88,3,16,3932,56,0,12,1
89,3,17,3931,56,1,13,1
90,3,18,3931,56,0,13,0
91,3,19,3929,58,2,13,0
92,3,20,3928,58,1,14,1
93,3,21,3928,58,0,14,0
94,3,22,3926,60,2,14,0
95,3,23,3926,59,0,15,1
96,4,0,3925,60,1,15,0
97,4,1,3923,62,2,15,0
98,4,2,3923,62,0,15,0
99,4,3,3922,63,1,15,0
100,4,4,3921,64,1,15,0
101,4,5,3918,67,3,15,0
102,4,6,3916,69,2,15,0
103,4,7,3914,71,2,15,0
104,4,8,3913,71,1,16,1
105,4,9,3913,71,0,16,0
106,4,10,3912,72,1,16,0
107,4,11,3911,72,1,17,1
108,4,12,3911,72,0,17,0
109,4,13,3907,75,4,18,1
110,4,14,3904,77,3,19,1
111,4,15,3904,77,0,19,0
112,4,16,3902,79,2,19,0
113,4,17,3900,81,2,19,0
114,4,18,3899,82,1,19,0
115,4,19,3898,83,1,19,0
116,4,20,3898,82,0,20,1
117,4,21,3898,82,0,20,0
118,4,22,3898,82,0,20,0
119,4,23,3897,82,1,21,1
120,5,0,3895,84,2,21,0
121,5,1,3892,87,3,21,0
122,5,2,3891,88,1,21,0
123,5,3,3890,89,1,21,0
124,5,4,3888,91,2,21,0
125,5,5,3885,94,3,21,0
126,5,6,3884,95,1,21,0
127,5,7,3881,98,3,21,0
128,5,8,3878,100,3,22,1
129,5,9,3876,100,2,24,2
130,5,10,3876,100,0,24,0
131,5,11,3874,101,2,25,1
132,5,12,3872,102,2,26,1
133,5,13,3870,104,2,26,0
134,5,14,3867,106,3,27,1
135,5,15,3866,107,1,27,0
136,5,16,3866,107,0,27,0
137,5,17,3863,110,3,27,0
138,5,18,3862,110,1,28,1
139,5,19,3862,109,0,29,1
140,5,20,3861,107,1,32,3
141,5,21,3859,108,2,33,1
142,5,22,3859,108,0,33,0
143,5,23,3858,109,1,33,0
144,6,0,3858,109,0,33,0
145,6,1,3855,112,3,33,0
146,6,2,3851,116,4,33,0
147,6,3,3850,117,1,33,0
148,6,4,3849,118,1,33,0
149,6,5,3845,122,4,33,0
150,6,6,3844,123,1,33,0
151,6,7,3841,125,3,34,1
152,6,8,3840,126,1,34,0
153,6,9,3837,129,3,34,0
154,6,10,3834,132,3,34,0
155,6,11,3832,133,2,35,1
156,6,12,3829,136,3,35,0
157,6,13,3826,139,3,35,0
158,6,14,3826,138,0,36,1
159,6,15,3823,140,3,37,1
160,6,16,3822,141,1,37,0
161,6,17,3818,143,4,39,2
162,6,18,3814,146,4,40,1
163,6,19,3811,149,3,40,0
164,6,20,3807,151,4,42,2
165,6,21,3804,154,3,42,0
166,6,22,3801,157,3,42,0
167,6,23,3798,160,3,42,0
168,7,0,3795,161,3,44,2
169,7,1,3791,165,4,44,0
170,7,2,3786,170,5,44,0
171,7,3,3784,172,2,44,0
172,7,4,3783,172,1,45,1
173,7,5,3780,175,3,45,0
174,7,6,3778,176,2,46,1
175,7,7,3776,177,2,47,1
176,7,8,3772,180,4,48,1
177,7,9,3771,179,1,50,2
178,7,10,3768,182,3,50,0
179,7,11,3766,184,2,50,0
180,7,12,3763,187,3,50,0
181,7,13,3760,189,3,51,1
182,7,14,3759,190,1,51,0
183,7,15,3753,194,6,53,2
184,7,16,3748,199,5,53,0
185,7,17,3744,203,4,53,0
186,7,18,3738,207,6,55,2
187,7,19,3734,208,4,58,3
188,7,20,3730,212,4,58,0
189,7,21,3729,213,1,58,0
190,7,22,3726,216,3,58,0
191,7,23,3718,222,8,60,2
192,8,0,3715,222,3,63,3
193,8,1,3712,224,3,64,1
194,8,2,3705,228,7,67,3
195,8,3,3703,230,2,67,0
196,8,4,3696,237,7,67,0
197,8,5,3692,241,4,67,0
198,8,6,3688,244,4,68,1
199,8,7,3679,252,9,69,1
200,8,8,3674,257,5,69,0
201,8,9,3668,262,6,70,1
202,8,10,3663,265,5,72,2
203,8,11,3659,269,4,72,0
204,8,12,3656,272,3,72,0
205,8,13,3654,273,2,73,1
206,8,14,3651,272,3,77,4
207,8,15,3647,275,4,78,1
208,8,16,3642,280,5,78,0
209,8,17,3640,281,2,79,1
210,8,18,3636,282,4,82,3
211,8,19,3631,286,5,83,1
212,8,20,3624,293,7,83,0
213,8,21,3617,298,7,85,2
214,8,22,3613,301,4,86,1
215,8,23,3610,301,3,89,3
216,9,0,3605,304,5,91,2
217,9,1,3598,311,7,91,0
218,9,2,3594,314,4,92,1
219,9,3,3582,326,12,92,0
220,9,4,3575,333,7,92,0
221,9,5,3574,334,1,92,0
222,9,6,3571,335,3,94,2
223,9,7,3568,338,3,94,0
224,9,8,3565,339,3,96,2
225,9,9,3563,341,2,96,0
226,9,10,3553,347,10,100,4
227,9,11,3548,351,5,101,1
228,9,12,3540,358,8,102,1
229,9,13,3535,361,5,104,2
230,9,14,3530,364,5,106,2
231,9,15,3525,369,5,106,0
232,9,16,3515,378,10,107,1
233,9,17,3507,386,8,107,0
234,9,18,3497,393,10,110,3
235,9,19,3490,399,7,111,1
236,9,20,3485,401,5,114,3
237,9,21,3479,407,6,114,0
238,9,22,3473,410,6,117,3
239,9,23,3463,415,10,122,5
240,10,0,3458,420,5,122,0
241,10,1,3452,423,6,125,3
242,10,2,3445,428,7,127,2
243,10,3,3438,433,7,129,2
244,10,4,3432,435,6,133,4
245,10,5,3423,444,9,133,0
246,10,6,3415,449,8,136,3
247,10,7,3408,452,7,140,4
248,10,8,3404,452,4,144,4
249,10,9,3399,455,5,146,2
250,10,10,3391,462,8,147,1
251,10,11,3380,472,11,148,1
252,10,12,3374,476,6,150,2
253,10,13,3365,481,9,154,4
254,10,14,3356,489,9,155,1
255,10,15,3346,496,10,158,3
256,10,16,3337,501,9,162,4
257,10,17,3328,508,9,164,2
258,10,18,3323,511,5,166,2
259,10,19,3312,519,11,169,3
