tick,day,hour,S_susceptible,I_total_infect,new_infect,R_total_recov,new_recov
0,0,0,3990,10,10,0,0
1,0,1,3990,10,0,0,0
2,0,2,3990,10,0,0,0
3,0,3,3990,10,0,0,0
4,0,4,3990,10,0,0,0
5,0,5,3990,10,0,0,0
6,0,6,3990,10,0,0,0
7,0,7,3990,10,0,0,0
8,0,8,3990,10,0,0,0
9,0,9,3990,10,0,0,0
10,0,10,3990,10,0,0,0
11,0,11,3990,10,0,0,0
12,0,12,3989,11,1,0,0
13,0,13,3989,11,0,0,0
14,0,14,3989,11,0,0,0
15,0,15,3989,11,0,0,0
16,0,16,3989,11,0,0,0
17,0,17,3988,12,1,0,0
18,0,18,3988,12,0,0,0
19,0,19,3988,12,0,0,0
20,0,20,3988,12,0,0,0
21,0,21,3988,12,0,0,0
22,0,22,3988,12,0,0,0
23,0,23,3987,13,1,0,0
24,1,0,3987,13,0,0,0
25,1,1,3987,13,0,0,0
26,1,2,3986,14,1,0,0
27,1,3,3985,15,1,0,0
28,1,4,3984,16,1,0,0
29,1,5,3984,16,0,0,0
30,1,6,3984,16,0,0,0
31,1,7,3984,16,0,0,0
32,1,8,3984,16,0,0,0
33,1,9,3984,16,0,0,0
34,1,10,3983,16,1,1,1
35,1,11,3982,17,1,1,0
36,1,12,3982,17,0,1,0
37,1,13,3982,17,0,1,0
38,1,14,3981,18,1,1,0
39,1,15,3980,19,1,1,0
40,1,16,3979,20,1,1,0
41,1,17,3979,20,0,1,0
42,1,18,3979,19,0,2,1
43,1,19,3976,22,3,2,0
44,1,20,3975,23,1,2,0
45,1,21,3972,26,3,2,0
46,1,22,3972,26,0,2,0
47,1,23,3971,27,1,2,0
48,2,0,3971,26,0,3,1
49,2,1,3971,26,0,3,0
50,2,2,3971,26,0,3,0
51,2,3,3971,26,0,3,0
52,2,4,3971,26,0,3,0
53,2,5,3969,28,2,3,0
54,2,6,3969,28,0,3,0
55,2,7,3969,28,0,3,0
56,2,8,3968,28,1,4,1
57,2,9,3967,29,1,4,0
58,2,10,3967,28,0,5,1
59,2,11,3967,28,0,5,0
60,2,12,3966,29,1,5,0
61,2,13,3966,29,0,5,0
62,2,14,3966,29,0,5,0
63,2,15,3965,30,1,5,0
64,2,16,3965,30,0,5,0
65,2,17,3964,31,1,5,0
66,2,18,3964,31,0,5,0
67,2,19,3962,33,2,5,0
68,2,20,3959,36,3,5,0
69,2,21,3959,36,0,5,0
70,2,22,3958,36,1,6,1
71,2,23,3958,36,0,6,0
72,3,0,3958,35,0,7,1
73,3,1,3958,35,0,7,0
74,3,2,3958,35,0,7,0
75,3,3,3957,36,1,7,0
76,3,4,3956,37,1,7,0
77,3,5,3955,38,1,7,0
78,3,6,3954,38,1,8,1
79,3,7,3954,38,0,8,0
80,3,8,3954,38,0,8,0
81,3,9,3954,38,0,8,0
82,3,10,3953,39,1,8,0
83,3,11,3952,40,1,8,0
84,3,12,3950,42,2,8,0
85,3,13,3950,42,0,8,0
86,3,14,3950,42,0,8,0
87,3,15,3948,44,2,8,0
88,3,16,3948,44,0,8,0
89,3,17,3946,46,2,8,0
90,3,18,3945,47,1,8,0
91,3,19,3944,48,1,8,0
92,3,20,3942,50,2,8,0
93,3,21,3940,50,2,10,2
94,3,22,3939,51,1,10,0
95,3,23,3936,54,3,10,0
96,4,0,3934,56,2,10,0
97,4,1,3933,57,1,10,0
98,4,2,3931,59,2,10,0
99,4,3,3930,60,1,10,0
100,4,4,3930,60,0,10,0
101,4,5,3929,61,1,10,0
102,4,6,3929,61,0,10,0
103,4,7,3928,61,1,11,1
104,4,8,3923,66,5,11,0
105,4,9,3922,67,1,11,0
106,4,10,3922,67,0,11,0
107,4,11,3920,68,2,12,1
108,4,12,3918,69,2,13,1
109,4,13,3917,70,1,13,0
110,4,14,3917,70,0,13,0
111,4,15,3916,71,1,13,0
112,4,16,3915,72,1,13,0
113,4,17,3914,73,1,13,0
114,4,18,3912,75,2,13,0
115,4,19,3911,76,1,13,0
116,4,20,3908,79,3,13,0
